,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
49,542649,116.0,RVNL,115.8,0.87,144.5,2023-05-08T00:00:00,29.0,2022-06-21T00:00:00,5010.67,341.02,2085.02,11.15,6.81,16.36,6.21,6.32,18.65,0.0,0.0,Dec - 22,,,,,,,,,,,10.0,500510
50,522287,117.0,KALPATPOWR,515.05,-0.53,597.15,2023-03-13T00:00:00,341.55,2022-05-26T00:00:00,4396.0,152.0,32.0,8.8,3.46,475.0,26.96,39.77,19.1,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500510
51,541956,117.0,IRCON,81.32,1.09,89.45,2023-05-03T00:00:00,34.8,2022-06-17T00:00:00,3669.93,248.18,188.1,8.27,6.76,131.94,8.26,8.66,9.85,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500510
52,532281,117.0,HCLTECH,1138.6,2.02,1156.8,2023-02-03T00:00:00,875.65,2022-08-29T00:00:00,11637.0,2844.0,0.0,36.02,24.44,0.0,42.23,51.19,26.96,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532281
53,532540,117.0,TCS,3329.0,1.04,3575.0,2023-02-16T00:00:00,2926.0,2022-09-26T00:00:00,49780.0,9800.0,366.0,28.73,19.69,2677.6,106.87,117.64,31.15,0.0,0.0,Mar - 23,,2645386073.0,2645386073.0,0.0,1013665300.0,348806373.0,0.0,348806373.0,664858927.0,0.0,1.0,532281
54,507685,117.0,WIPRO,401.5,1.85,488.0,2022-06-03T00:00:00,351.85,2023-04-17T00:00:00,17477.3,2264.1,1097.6,21.17,12.95,206.28,16.72,19.62,24.01,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,532281
55,532755,117.0,TECHM,1115.2,1.57,1196.65,2022-06-01T00:00:00,944.1,2022-06-17T00:00:00,10938.5,676.7,487.1,10.27,6.19,138.92,40.29,48.23,27.68,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,532281
56,500820,117.0,ASIANPAINT,3127.2,0.16,3590.0,2022-09-28T00:00:00,2560.25,2022-06-17T00:00:00,7626.01,1233.73,95.92,24.56,16.18,1286.21,42.75,50.63,73.15,0.0,0.0,Mar - 23,Mar - 23,504785184.0,504785184.0,0.0,454412606.0,94649998.0,0.0,94649998.0,359762608.0,0.0,1.0,500820
57,509480,117.0,BERGEPAINT,647.35,1.01,710.0,2022-08-18T00:00:00,527.6,2023-02-03T00:00:00,2189.29,196.21,97.14,16.23,8.96,201.99,8.53,10.94,75.89,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500820
58,500165,117.0,KANSAINER,410.85,0.18,535.9,2022-08-03T00:00:00,358.05,2022-06-22T00:00:00,1605.11,93.99,53.89,10.39,5.86,174.41,9.03,12.08,45.5,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500820
